"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.484218","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.527531","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0482256","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.776393","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.07289","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.844302","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.197755","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.738225","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.850881","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.511898","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.676543","80.0"
