"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Period Mean (original grids)","MeanState","global","scalar","%","0.514447","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (intersection)","MeanState","global","scalar","%","0.558043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (complement)","MeanState","global","scalar","%","0.0756181","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Spatial Distribution Score","MeanState","global","score","1","0.768522","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Phase Shift","MeanState","global","scalar","months","2.05618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Seasonal Cycle Score","MeanState","global","score","1","0.845167","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Bias","MeanState","global","scalar","%","0.228267","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Bias Score","MeanState","global","score","1","0.731839","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","RMSE","MeanState","global","scalar","%","0.882497","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","RMSE Score","MeanState","global","score","1","0.513465","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Overall Score","MeanState","global","score","1","0.674491","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Period Mean (original grids)","MeanState","global","scalar","%","0.566025","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Model Period Mean (intersection)","MeanState","global","scalar","%","0.614351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Model Period Mean (complement)","MeanState","global","scalar","%","0.0795818","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Spatial Distribution Score","MeanState","global","score","1","0.764295","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Phase Shift","MeanState","global","scalar","months","2.04669","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Seasonal Cycle Score","MeanState","global","score","1","0.848708","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Bias","MeanState","global","scalar","%","0.284575","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Bias Score","MeanState","global","score","1","0.729434","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","RMSE","MeanState","global","scalar","%","0.945536","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","RMSE Score","MeanState","global","score","1","0.508045","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-rain-pulse-grid","Overall Score","MeanState","global","score","1","0.671705","80.0"
