"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","global","scalar","%","0.511477","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","global","scalar","%","0.557185","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","global","scalar","%","0.0513796","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Spatial Distribution Score","MeanState","global","score","1","0.776697","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Phase Shift","MeanState","global","scalar","months","2.06583","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Seasonal Cycle Score","MeanState","global","score","1","0.845259","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Bias","MeanState","global","scalar","%","0.227409","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Bias Score","MeanState","global","score","1","0.736375","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","RMSE","MeanState","global","scalar","%","0.876209","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","RMSE Score","MeanState","global","score","1","0.510514","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Overall Score","MeanState","global","score","1","0.675872","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Period Mean (original grids)","MeanState","global","scalar","%","0.535854","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Model Period Mean (intersection)","MeanState","global","scalar","%","0.581302","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Model Period Mean (complement)","MeanState","global","scalar","%","0.0783767","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Spatial Distribution Score","MeanState","global","score","1","0.773016","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Phase Shift","MeanState","global","scalar","months","2.05968","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Seasonal Cycle Score","MeanState","global","score","1","0.849515","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Bias","MeanState","global","scalar","%","0.251526","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Bias Score","MeanState","global","score","1","0.735298","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","RMSE","MeanState","global","scalar","%","0.903249","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","RMSE Score","MeanState","global","score","1","0.509362","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nohigh","Overall Score","MeanState","global","score","1","0.675311","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Period Mean (original grids)","MeanState","global","scalar","%","0.50363","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Model Period Mean (intersection)","MeanState","global","scalar","%","0.548713","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Model Period Mean (complement)","MeanState","global","scalar","%","0.0498273","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Spatial Distribution Score","MeanState","global","score","1","0.774396","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Phase Shift","MeanState","global","scalar","months","2.06473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Seasonal Cycle Score","MeanState","global","score","1","0.848158","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Bias","MeanState","global","scalar","%","0.218937","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Bias Score","MeanState","global","score","1","0.736685","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","RMSE","MeanState","global","scalar","%","0.868501","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","RMSE Score","MeanState","global","score","1","0.511031","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed","Overall Score","MeanState","global","score","1","0.67626","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","global","scalar","%","0.478374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","global","scalar","%","0.521737","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","global","scalar","%","0.0418906","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Spatial Distribution Score","MeanState","global","score","1","0.768982","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Phase Shift","MeanState","global","scalar","months","2.07119","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Seasonal Cycle Score","MeanState","global","score","1","0.848774","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Bias","MeanState","global","scalar","%","0.191961","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Bias Score","MeanState","global","score","1","0.737911","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","RMSE","MeanState","global","scalar","%","0.84454","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","RMSE Score","MeanState","global","score","1","0.512583","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Overall Score","MeanState","global","score","1","0.676167","80.0"
