"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","global","scalar","%","0.508788","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","global","scalar","%","0.551871","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","global","scalar","%","0.0751126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","bona","scalar","%","0.0310812","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.032017","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00313966","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","tena","scalar","%","0.268807","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.275906","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0526212","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","ceam","scalar","%","0.572417","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.649652","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0801381","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.644243","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.683125","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0871606","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
