"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","global","scalar","%","0.493053","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (intersection)","MeanState","global","scalar","%","0.534845","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (complement)","MeanState","global","scalar","%","0.0723708","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","bona","scalar","%","0.00780422","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.00804157","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (complement)","MeanState","bona","scalar","%","0.000717496","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","tena","scalar","%","0.221601","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.227707","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0356554","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","ceam","scalar","%","0.545448","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.618979","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.076779","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.713031","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.756375","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0920243","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-1","Period Mean (original grids)","MeanState","shsa","scalar","%","0.790676","80.0"
