"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Period Mean (original grids)","MeanState","global","scalar","%","0.508788","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (intersection)","MeanState","global","scalar","%","0.551871","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Model Period Mean (complement)","MeanState","global","scalar","%","0.0751126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Spatial Distribution Score","MeanState","global","score","1","0.763068","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Phase Shift","MeanState","global","scalar","months","2.05747","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Seasonal Cycle Score","MeanState","global","score","1","0.845278","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Bias","MeanState","global","scalar","%","0.222095","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Bias Score","MeanState","global","score","1","0.732627","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","RMSE","MeanState","global","scalar","%","0.881846","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","RMSE Score","MeanState","global","score","1","0.511792","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-combo-warm-ann","Overall Score","MeanState","global","score","1","0.672911","80.0"
