"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Period Mean (original grids)","MeanState","global","scalar","%","0.466588","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Model Period Mean (intersection)","MeanState","global","scalar","%","0.509247","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Model Period Mean (complement)","MeanState","global","scalar","%","0.0371885","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Spatial Distribution Score","MeanState","global","score","1","0.799681","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Phase Shift","MeanState","global","scalar","months","2.02999","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Seasonal Cycle Score","MeanState","global","score","1","0.857447","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Bias","MeanState","global","scalar","%","0.179471","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Bias Score","MeanState","global","score","1","0.744401","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","RMSE","MeanState","global","scalar","%","0.837057","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","RMSE Score","MeanState","global","score","1","0.519319","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-0","Overall Score","MeanState","global","score","1","0.688033","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Period Mean (original grids)","MeanState","global","scalar","%","0.471262","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Model Period Mean (intersection)","MeanState","global","scalar","%","0.514323","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Model Period Mean (complement)","MeanState","global","scalar","%","0.0378121","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Spatial Distribution Score","MeanState","global","score","1","0.799362","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Phase Shift","MeanState","global","scalar","months","2.03019","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Seasonal Cycle Score","MeanState","global","score","1","0.857581","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Bias","MeanState","global","scalar","%","0.184547","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Bias Score","MeanState","global","score","1","0.744018","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","RMSE","MeanState","global","scalar","%","0.844488","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","RMSE Score","MeanState","global","score","1","0.518584","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-1","Overall Score","MeanState","global","score","1","0.687626","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-2","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-2","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-hotwet-2","Period Mean (original grids)","MeanState","global","scalar","%","0.491438","80.0"
