"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","global","scalar","%","0.46911","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","global","scalar","%","0.511852","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","global","scalar","%","0.0388741","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Spatial Distribution Score","MeanState","global","score","1","0.77247","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Phase Shift","MeanState","global","scalar","months","2.07381","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Seasonal Cycle Score","MeanState","global","score","1","0.847835","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Bias","MeanState","global","scalar","%","0.182076","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Bias Score","MeanState","global","score","1","0.739103","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","RMSE","MeanState","global","scalar","%","0.835983","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","RMSE Score","MeanState","global","score","1","0.512622","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Overall Score","MeanState","global","score","1","0.67693","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Period Mean (original grids)","MeanState","global","scalar","%","0.468105","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (intersection)","MeanState","global","scalar","%","0.510888","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (complement)","MeanState","global","scalar","%","0.037447","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Spatial Distribution Score","MeanState","global","score","1","0.800223","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Phase Shift","MeanState","global","scalar","months","2.02861","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Seasonal Cycle Score","MeanState","global","score","1","0.856542","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Bias","MeanState","global","scalar","%","0.181113","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Bias Score","MeanState","global","score","1","0.74405","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","RMSE","MeanState","global","scalar","%","0.83294","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","RMSE Score","MeanState","global","score","1","0.519589","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Overall Score","MeanState","global","score","1","0.687999","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Period Mean (original grids)","MeanState","global","scalar","%","0.515936","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Model Period Mean (intersection)","MeanState","global","scalar","%","0.563019","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Model Period Mean (complement)","MeanState","global","scalar","%","0.0420031","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Spatial Distribution Score","MeanState","global","score","1","0.797406","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Phase Shift","MeanState","global","scalar","months","2.04783","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Seasonal Cycle Score","MeanState","global","score","1","0.853681","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Bias","MeanState","global","scalar","%","0.233243","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Bias Score","MeanState","global","score","1","0.740517","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","RMSE","MeanState","global","scalar","%","0.870098","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","RMSE Score","MeanState","global","score","1","0.515532","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing","Overall Score","MeanState","global","score","1","0.684534","80.0"
