"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Period Mean (original grids)","MeanState","global","scalar","%","0.466368","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Model Period Mean (intersection)","MeanState","global","scalar","%","0.508916","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Model Period Mean (complement)","MeanState","global","scalar","%","0.0380787","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Spatial Distribution Score","MeanState","global","score","1","0.772673","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Phase Shift","MeanState","global","scalar","months","2.07367","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Seasonal Cycle Score","MeanState","global","score","1","0.848079","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Bias","MeanState","global","scalar","%","0.17914","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Bias Score","MeanState","global","score","1","0.738666","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","RMSE","MeanState","global","scalar","%","0.83356","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","RMSE Score","MeanState","global","score","1","0.512972","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-seed2","Overall Score","MeanState","global","score","1","0.677073","80.0"
