"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Period Mean (original grids)","MeanState","global","scalar","%","0.53208","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Model Period Mean (intersection)","MeanState","global","scalar","%","0.577256","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Model Period Mean (complement)","MeanState","global","scalar","%","0.0773417","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Spatial Distribution Score","MeanState","global","score","1","0.765235","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Phase Shift","MeanState","global","scalar","months","2.057","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Seasonal Cycle Score","MeanState","global","score","1","0.845105","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Bias","MeanState","global","scalar","%","0.24748","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Bias Score","MeanState","global","score","1","0.731496","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","RMSE","MeanState","global","scalar","%","0.90838","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","RMSE Score","MeanState","global","score","1","0.510594","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-warm-gate-c8","Overall Score","MeanState","global","score","1","0.672605","80.0"
