"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","global","scalar","%","0.557574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","global","scalar","%","0.604779","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","global","scalar","%","0.0824133","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","bona","scalar","%","0.0436172","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0449346","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00428291","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","tena","scalar","%","0.363627","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.372349","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0980088","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","ceam","scalar","%","0.691069","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.785606","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0885102","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.597674","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.633509","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0842413","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","shsa","scalar","%","0.804953","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.834389","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.0330339","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","euro","scalar","%","0.284238","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.316371","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0399592","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","mide","scalar","%","0.339833","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.42261","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","mide","scalar","%","0.128011","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.35283","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.43351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.175433","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Period Mean (original grids)","MeanState","shaf","scalar","%","1.37179","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (intersection)","MeanState","shaf","scalar","%","1.41334","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.168182","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ann-wet","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
