"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Period Mean (original grids)","MeanState","global","scalar","%","0.514448","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (intersection)","MeanState","global","scalar","%","0.558044","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (complement)","MeanState","global","scalar","%","0.075619","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Period Mean (original grids)","MeanState","bona","scalar","%","0.0100849","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0103913","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (complement)","MeanState","bona","scalar","%","0.000938678","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Period Mean (original grids)","MeanState","tena","scalar","%","0.244327","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.251003","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0410285","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-liquid-wet-3","Period Mean (original grids)","MeanState","ceam","scalar","%","0.587773","80.0"
