"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","global","scalar","%","0.46911","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","global","scalar","%","0.511852","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","global","scalar","%","0.0388741","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","bona","scalar","%","0.0389574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0401321","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","bona","scalar","%","0.0038843","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","tena","scalar","%","0.302329","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.30915","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0946152","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","ceam","scalar","%","0.593374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.674933","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0735404","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.368643","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.389476","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0701532","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","shsa","scalar","%","0.615176","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.638211","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.0111146","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","euro","scalar","%","0.260764","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.290116","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0376274","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","mide","scalar","%","0.21722","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.286993","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0386776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.23822","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.31815","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.0717582","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","shaf","scalar","%","1.28743","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","shaf","scalar","%","1.32919","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.077804","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","boas","scalar","%","0.0695098","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","boas","scalar","%","0.0704942","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","boas","scalar","%","0.00399278","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","ceas","scalar","%","0.125736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","ceas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","ceas","scalar","%","0.193443","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","ceas","scalar","%","0.207511","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","ceas","scalar","%","0.0358023","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","seas","scalar","%","0.148029","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","seas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","seas","scalar","%","0.802082","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","seas","scalar","%","0.87193","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (complement)","MeanState","seas","scalar","%","0.0369341","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (intersection)","MeanState","eqas","scalar","%","0.0480126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Benchmark Period Mean (complement)","MeanState","eqas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Period Mean (original grids)","MeanState","eqas","scalar","%","0.0682766","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-coldrelax","Model Period Mean (intersection)","MeanState","eqas","scalar","%","0.0909696","80.0"
