"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","global","scalar","%","0.342165","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","global","scalar","%","0.373462","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","global","scalar","%","0.0271302","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","bona","scalar","%","0.0247306","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0254787","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00239511","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","tena","scalar","%","0.190132","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.194543","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0558122","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","ceam","scalar","%","0.422154","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.479654","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0556599","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.257633","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.272156","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.049554","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","shsa","scalar","%","0.439586","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.456065","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00742463","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","euro","scalar","%","0.176551","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.196397","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0256764","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","mide","scalar","%","0.171922","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.227804","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0289246","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Period Mean (original grids)","MeanState","nhaf","scalar","%","0.955744","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-warmwet-nocure","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.01726","80.0"
