"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Period Mean (original grids)","MeanState","global","scalar","%","0.468105","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (intersection)","MeanState","global","scalar","%","0.510888","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (complement)","MeanState","global","scalar","%","0.037447","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Period Mean (original grids)","MeanState","bona","scalar","%","0.0207268","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.021354","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (complement)","MeanState","bona","scalar","%","0.0019993","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Period Mean (original grids)","MeanState","tena","scalar","%","0.23902","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.244758","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-next-curing-wet","Model Period Mean (complement)","MeanState","tena","scalar","%","0.064251","80.0"
