"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","global","scalar","%","0.511477","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","global","scalar","%","0.557185","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","global","scalar","%","0.0513796","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","bona","scalar","%","0.0400619","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0412786","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00373593","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","tena","scalar","%","0.328865","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.336497","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0964507","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","ceam","scalar","%","0.642985","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.731378","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0795958","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.475674","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.503315","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0796513","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","shsa","scalar","%","0.701048","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.727148","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.0166038","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","euro","scalar","%","0.276625","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.307817","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0395011","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","mide","scalar","%","0.260701","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.33787","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0632305","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.31752","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.40082","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.101787","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Period Mean (original grids)","MeanState","shaf","scalar","%","1.34689","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (intersection)","MeanState","shaf","scalar","%","1.38983","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-nolow","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.103377","80.0"
