"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","global","scalar","%","0.478374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","global","scalar","%","0.521737","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","global","scalar","%","0.0418906","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","bona","scalar","%","0.0366052","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0377143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","bona","scalar","%","0.0034896","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","tena","scalar","%","0.308658","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.315663","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0953342","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","ceam","scalar","%","0.608116","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.691944","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0738133","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.426282","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.450958","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0727385","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","shsa","scalar","%","0.651825","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.676204","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.0124922","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Period Mean (original grids)","MeanState","euro","scalar","%","0.259334","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.288544","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-p2f3-opt","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0372749","80.0"
