"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Period Mean (original grids)","MeanState","global","scalar","%","0.514447","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (intersection)","MeanState","global","scalar","%","0.558043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (complement)","MeanState","global","scalar","%","0.0756181","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Period Mean (original grids)","MeanState","bona","scalar","%","0.0100833","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0103897","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Model Period Mean (complement)","MeanState","bona","scalar","%","0.000937492","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-wet-temp-grid","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
