"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Period Mean (original grids)","MeanState","global","scalar","%","0.437419","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Model Period Mean (intersection)","MeanState","global","scalar","%","0.477784","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Model Period Mean (complement)","MeanState","global","scalar","%","0.0311089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Spatial Distribution Score","MeanState","global","score","1","0.802159","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Phase Shift","MeanState","global","scalar","months","2.0391","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Seasonal Cycle Score","MeanState","global","score","1","0.856851","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Bias","MeanState","global","scalar","%","0.148008","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Bias Score","MeanState","global","score","1","0.745613","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","RMSE","MeanState","global","scalar","%","0.804012","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","RMSE Score","MeanState","global","score","1","0.523083","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-0","Overall Score","MeanState","global","score","1","0.690158","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Period Mean (original grids)","MeanState","global","scalar","%","0.438501","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Model Period Mean (intersection)","MeanState","global","scalar","%","0.478967","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Model Period Mean (complement)","MeanState","global","scalar","%","0.0311727","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Spatial Distribution Score","MeanState","global","score","1","0.802118","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Phase Shift","MeanState","global","scalar","months","2.03919","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Seasonal Cycle Score","MeanState","global","score","1","0.856834","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Bias","MeanState","global","scalar","%","0.149191","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Bias Score","MeanState","global","score","1","0.745681","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","RMSE","MeanState","global","scalar","%","0.805485","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","RMSE Score","MeanState","global","score","1","0.522852","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-4","Overall Score","MeanState","global","score","1","0.690068","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-5","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-5","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridboreal-5","Period Mean (original grids)","MeanState","global","scalar","%","0.43856","80.0"
