"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","global","scalar","%","0.45172","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","global","scalar","%","0.492994","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","global","scalar","%","0.0362618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Spatial Distribution Score","MeanState","global","score","1","0.80029","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Phase Shift","MeanState","global","scalar","months","2.0277","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Seasonal Cycle Score","MeanState","global","score","1","0.857322","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Bias","MeanState","global","scalar","%","0.163218","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Bias Score","MeanState","global","score","1","0.744718","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","RMSE","MeanState","global","scalar","%","0.823076","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","RMSE Score","MeanState","global","score","1","0.521065","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Overall Score","MeanState","global","score","1","0.688892","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Period Mean (original grids)","MeanState","global","scalar","%","0.435108","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Model Period Mean (intersection)","MeanState","global","scalar","%","0.47525","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Model Period Mean (complement)","MeanState","global","scalar","%","0.0310377","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Spatial Distribution Score","MeanState","global","score","1","0.802306","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Phase Shift","MeanState","global","scalar","months","2.03725","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Seasonal Cycle Score","MeanState","global","score","1","0.857251","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Bias","MeanState","global","scalar","%","0.145475","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Bias Score","MeanState","global","score","1","0.745436","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","RMSE","MeanState","global","scalar","%","0.801305","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","RMSE Score","MeanState","global","score","1","0.523449","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-aridatt","Overall Score","MeanState","global","score","1","0.690378","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","global","scalar","%","0.44655","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","global","scalar","%","0.487375","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","global","scalar","%","0.0356126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Spatial Distribution Score","MeanState","global","score","1","0.799568","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Phase Shift","MeanState","global","scalar","months","2.0264","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Seasonal Cycle Score","MeanState","global","score","1","0.857421","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Bias","MeanState","global","scalar","%","0.157599","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Bias Score","MeanState","global","score","1","0.744697","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","RMSE","MeanState","global","scalar","%","0.821025","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","RMSE Score","MeanState","global","score","1","0.520973","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Overall Score","MeanState","global","score","1","0.688726","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Period Mean (original grids)","MeanState","global","scalar","%","0.462732","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Model Period Mean (intersection)","MeanState","global","scalar","%","0.505033","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Model Period Mean (complement)","MeanState","global","scalar","%","0.0369394","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Spatial Distribution Score","MeanState","global","score","1","0.799763","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Phase Shift","MeanState","global","scalar","months","2.0275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Seasonal Cycle Score","MeanState","global","score","1","0.857194","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Bias","MeanState","global","scalar","%","0.175257","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Bias Score","MeanState","global","score","1","0.744463","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","RMSE","MeanState","global","scalar","%","0.834418","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","RMSE Score","MeanState","global","score","1","0.519621","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealdiag","Overall Score","MeanState","global","score","1","0.688133","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","global","scalar","%","0.440761","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","global","scalar","%","0.481411","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","global","scalar","%","0.0315876","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","global","score","1","0.803364","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","global","scalar","months","2.03277","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","global","score","1","0.85923","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","global","scalar","%","0.151635","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","global","score","1","0.745298","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","RMSE","MeanState","global","scalar","%","0.808124","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","RMSE Score","MeanState","global","score","1","0.522464","80.0"
