"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","global","scalar","%","0.44655","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","global","scalar","%","0.487375","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","global","scalar","%","0.0356126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","bona","scalar","%","0.01646","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0169571","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00161592","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","tena","scalar","%","0.203509","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.208558","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0497541","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","ceam","scalar","%","0.511248","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.580488","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.069932","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.335112","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.354149","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0623606","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","shsa","scalar","%","0.56866","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.589983","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00949327","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","euro","scalar","%","0.205618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.228837","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0291014","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","mide","scalar","%","0.260059","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.343993","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0452778","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.38101","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.46969","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-borealprotect","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.0867448","80.0"
