"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","global","scalar","%","0.440761","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","global","scalar","%","0.481411","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","global","scalar","%","0.0315876","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","bona","scalar","%","0.017581","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0181119","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00172973","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","tena","scalar","%","0.200043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.204939","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0509386","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","ceam","scalar","%","0.518495","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.589157","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0681087","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.336934","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.356295","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0595471","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","shsa","scalar","%","0.569684","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.591092","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00826401","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","euro","scalar","%","0.197836","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.220028","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0291237","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","mide","scalar","%","0.2187","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.290749","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0343318","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.32998","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.41636","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.0693222","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","shaf","scalar","%","1.29945","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","shaf","scalar","%","1.34249","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.0525965","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","boas","scalar","%","0.0347951","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","boas","scalar","%","0.0352872","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","boas","scalar","%","0.00204134","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","ceas","scalar","%","0.125736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","ceas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","ceas","scalar","%","0.118248","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","ceas","scalar","%","0.127022","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","ceas","scalar","%","0.019931","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","seas","scalar","%","0.148029","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","seas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","seas","scalar","%","0.807282","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","seas","scalar","%","0.877557","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","seas","scalar","%","0.0374707","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","eqas","scalar","%","0.0480126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","eqas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","eqas","scalar","%","0.0569546","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","eqas","scalar","%","0.0765235","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","eqas","scalar","%","0.00564243","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (intersection)","MeanState","aust","scalar","%","0.529194","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Benchmark Period Mean (complement)","MeanState","aust","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Period Mean (original grids)","MeanState","aust","scalar","%","0.370514","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (intersection)","MeanState","aust","scalar","%","0.390907","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Model Period Mean (complement)","MeanState","aust","scalar","%","0.106751","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","global","score","1","0.803364","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","bona","score","1","0.20296","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","tena","score","1","0.164617","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","ceam","score","1","0.100026","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","nhsa","score","1","0.593955","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","shsa","score","1","0.336935","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","euro","score","1","0.0891753","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","mide","score","1","0.0920319","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","nhaf","score","1","0.747523","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","shaf","score","1","0.744937","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","boas","score","1","0.48344","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","ceas","score","1","0.63283","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","seas","score","1","0.304363","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","eqas","score","1","0.356657","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Spatial Distribution Score","MeanState","aust","score","1","0.757727","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","global","scalar","months","2.03277","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","global","score","1","0.85923","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","bona","scalar","months","1.91136","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","bona","score","1","0.919774","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","tena","scalar","months","2.40127","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","tena","score","1","0.693548","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","ceam","scalar","months","1.67928","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","ceam","score","1","0.856984","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","nhsa","scalar","months","1.43217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","nhsa","score","1","0.910089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","shsa","scalar","months","1.84293","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","shsa","score","1","0.823274","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","euro","scalar","months","2.23735","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","euro","score","1","0.799528","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","mide","scalar","months","2.5419","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","mide","score","1","0.754332","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","nhaf","scalar","months","1.68126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","nhaf","score","1","0.926789","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","shaf","scalar","months","1.31773","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","shaf","score","1","0.911745","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","boas","scalar","months","1.80987","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","boas","score","1","0.804047","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","ceas","scalar","months","2.34652","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","ceas","score","1","0.735001","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","seas","scalar","months","2.0836","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","seas","score","1","0.851359","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","eqas","scalar","months","1.96637","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","eqas","score","1","0.859806","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Phase Shift","MeanState","aust","scalar","months","2.66411","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Seasonal Cycle Score","MeanState","aust","score","1","0.578729","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","global","scalar","%","0.151635","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","global","score","1","0.745298","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","bona","scalar","%","-0.0153355","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","bona","score","1","0.895284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","tena","scalar","%","0.179001","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","tena","score","1","0.557071","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","ceam","scalar","%","0.50673","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","ceam","score","1","0.396932","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","nhsa","scalar","%","0.21353","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","nhsa","score","1","0.535522","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","shsa","scalar","%","0.445398","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","shsa","score","1","0.576421","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","euro","scalar","%","0.194966","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","euro","score","1","0.555995","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","mide","scalar","%","0.265532","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","mide","score","1","0.505616","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","nhaf","scalar","%","0.183519","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","nhaf","score","1","0.766817","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","shaf","scalar","%","-0.114428","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","shaf","score","1","0.767164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias","MeanState","boas","scalar","%","0.00167284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-combined","Bias Score","MeanState","boas","score","1","0.866682","80.0"
