"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","global","scalar","%","0.45172","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","global","scalar","%","0.492994","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","global","scalar","%","0.0362618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","bona","scalar","%","0.0178926","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0184329","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00176306","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","tena","scalar","%","0.212472","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.217705","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0530983","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","ceam","scalar","%","0.519663","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.590022","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0712108","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.332217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.350949","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0638285","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","shsa","scalar","%","0.568806","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.590124","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00976499","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","euro","scalar","%","0.212448","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.236441","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0300459","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","mide","scalar","%","0.263481","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.348457","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0460336","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.3926","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.48201","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.0877206","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","shaf","scalar","%","1.3022","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","shaf","scalar","%","1.3452","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.0569071","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","boas","scalar","%","0.0347754","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (intersection)","MeanState","boas","scalar","%","0.0352667","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Model Period Mean (complement)","MeanState","boas","scalar","%","0.00207493","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (intersection)","MeanState","ceas","scalar","%","0.125736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Benchmark Period Mean (complement)","MeanState","ceas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-loop13-wetprodatt","Period Mean (original grids)","MeanState","ceas","scalar","%","0.133192","80.0"
