"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.316433","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0431552","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Period Mean (original grids)","MeanState","global","scalar","%","0.135698","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Model Period Mean (intersection)","MeanState","global","scalar","%","0.159522","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Model Period Mean (complement)","MeanState","global","scalar","%","0.0260451","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Spatial Distribution Score","MeanState","global","score","1","0.333089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Phase Shift","MeanState","global","scalar","months","2.24051","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Seasonal Cycle Score","MeanState","global","score","1","0.77772","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Bias","MeanState","global","scalar","%","-0.157679","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Bias Score","MeanState","global","score","1","0.687174","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","RMSE","MeanState","global","scalar","%","0.671986","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","RMSE Score","MeanState","global","score","1","0.491961","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM","Overall Score","MeanState","global","score","1","0.556381","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Spatial Distribution Score","MeanState","global","score","1","0.771075","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final-repro","Overall Score","MeanState","global","score","1","0.671274","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.312615","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.00511679","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Period Mean (original grids)","MeanState","global","scalar","%","0.283702","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Model Period Mean (intersection)","MeanState","global","scalar","%","0.320517","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Model Period Mean (complement)","MeanState","global","scalar","%","0.0675073","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Spatial Distribution Score","MeanState","global","score","1","0.611996","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Phase Shift","MeanState","global","scalar","months","3.19154","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Seasonal Cycle Score","MeanState","global","score","1","0.458751","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Bias","MeanState","global","scalar","%","0.00790152","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Bias Score","MeanState","global","score","1","0.693387","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","RMSE","MeanState","global","scalar","%","0.715474","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","RMSE Score","MeanState","global","score","1","0.4893","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","LPJmL","Overall Score","MeanState","global","score","1","0.548547","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.314185","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0.0253338","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Period Mean (original grids)","MeanState","global","scalar","%","0.629683","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Model Period Mean (intersection)","MeanState","global","scalar","%","0.691108","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Model Period Mean (complement)","MeanState","global","scalar","%","0.440398","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Spatial Distribution Score","MeanState","global","score","1","0.676384","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Phase Shift","MeanState","global","scalar","months","2.14383","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ELM-FATES","Seasonal Cycle Score","MeanState","global","score","1","0.860476","80.0"
