Run,Region,Bias Score,Overall Score,RMSE Score,Seasonal Cycle Score,Spatial Distribution Score
C0,aust,0.745626,0.670219,0.652014,0.579524,0.721918
C0,boas,0.840753,0.728733,0.619204,0.796639,0.767865
C0,bona,0.883981,0.789806,0.742535,0.925121,0.654858
C0,ceam,0.286887,0.376153,0.310422,0.84747,0.125564
C0,ceas,0.783351,0.670499,0.560258,0.722163,0.726466
C0,eqas,0.477132,0.507395,0.523149,0.836452,0.177092
C0,euro,0.39345,0.361128,0.261763,0.808165,0.080499
C0,global,0.728089,0.671529,0.505759,0.84569,0.772351
C0,mide,0.436689,0.382769,0.310067,0.76584,0.0911787
C0,nhaf,0.769337,0.645855,0.479548,0.901029,0.59981
C0,nhsa,0.501408,0.605824,0.49315,0.914425,0.626989
C0,seas,0.496169,0.487193,0.377266,0.826697,0.358569
C0,shaf,0.759732,0.646693,0.502274,0.902122,0.567063
C0,shsa,0.473091,0.507249,0.429758,0.820024,0.383616
C0,tena,0.437076,0.381473,0.307975,0.694036,0.160304
H1_retuned,aust,0.756824,0.634402,0.65606,0.578337,0.524733
H1_retuned,boas,0.879017,0.667755,0.697007,0.79727,0.268475
H1_retuned,bona,0.894947,0.694979,0.753215,0.926114,0.147403
H1_retuned,ceam,0.53295,0.503865,0.405121,0.851834,0.3243
H1_retuned,ceas,0.813774,0.687127,0.62487,0.724337,0.647784
H1_retuned,eqas,0.725909,0.68011,0.590328,0.849317,0.644669
H1_retuned,euro,0.657658,0.517253,0.451575,0.803494,0.221963
H1_retuned,global,0.724277,0.638442,0.517305,0.849577,0.583747
H1_retuned,mide,0.499607,0.419137,0.347447,0.773501,0.127681
H1_retuned,nhaf,0.730925,0.609633,0.472176,0.894886,0.478002
H1_retuned,nhsa,0.679098,0.686731,0.547826,0.915106,0.743802
H1_retuned,seas,0.672448,0.574914,0.43045,0.824698,0.516524
H1_retuned,shaf,0.706167,0.595484,0.504536,0.916783,0.345397
H1_retuned,shsa,0.69994,0.640418,0.489006,0.829885,0.694256
H1_retuned,tena,0.601335,0.47274,0.424563,0.683819,0.22942
H1m_mild,aust,0.750602,0.656465,0.655418,0.577176,0.643711
H1m_mild,boas,0.857184,0.737984,0.642969,0.796639,0.750161
H1m_mild,bona,0.888967,0.773329,0.746301,0.925121,0.559956
H1m_mild,ceam,0.364991,0.426901,0.356998,0.848627,0.20689
H1m_mild,ceas,0.803773,0.680848,0.583204,0.721724,0.712335
H1m_mild,eqas,0.568558,0.569441,0.552681,0.841258,0.332029
H1m_mild,euro,0.479159,0.409567,0.318505,0.807603,0.124062
H1m_mild,global,0.726349,0.65377,0.506847,0.845991,0.682813
H1m_mild,mide,0.474045,0.410133,0.337833,0.766559,0.134394
H1m_mild,nhaf,0.755331,0.610911,0.47394,0.900497,0.450846
H1m_mild,nhsa,0.564138,0.658907,0.530291,0.914424,0.755392
H1m_mild,seas,0.565538,0.537701,0.403964,0.826309,0.488732
H1m_mild,shaf,0.734345,0.604938,0.493011,0.904071,0.400255
H1m_mild,shsa,0.571166,0.575538,0.467468,0.820097,0.551492
H1m_mild,tena,0.487387,0.425811,0.347542,0.698429,0.248154
H2_wetmonth,aust,0.760393,0.654356,0.652964,0.58469,0.620766
H2_wetmonth,boas,0.876104,0.658392,0.703368,0.802335,0.206784
H2_wetmonth,bona,0.89379,0.684304,0.75447,0.893328,0.125461
H2_wetmonth,ceam,0.468342,0.432709,0.327922,0.827529,0.211828
H2_wetmonth,ceas,0.811402,0.688844,0.62941,0.733554,0.640443
H2_wetmonth,eqas,0.702001,0.626819,0.562855,0.841213,0.46517
H2_wetmonth,euro,0.640243,0.493249,0.446794,0.79949,0.132923
H2_wetmonth,global,0.728952,0.653397,0.516777,0.852113,0.652368
H2_wetmonth,mide,0.481118,0.408941,0.329232,0.773145,0.13198
H2_wetmonth,nhaf,0.740651,0.61979,0.482951,0.900706,0.491692
H2_wetmonth,nhsa,0.656731,0.674139,0.4881,0.914842,0.82292
H2_wetmonth,seas,0.62779,0.527247,0.377795,0.804006,0.448847
H2_wetmonth,shaf,0.722347,0.619603,0.511405,0.917155,0.4357
H2_wetmonth,shsa,0.653109,0.584359,0.426615,0.835656,0.579803
H2_wetmonth,tena,0.636618,0.486492,0.442044,0.68813,0.223624
H3_contrast,aust,0.754749,0.661875,0.655663,0.572082,0.671215
H3_contrast,boas,0.86317,0.733191,0.655456,0.79693,0.694944
H3_contrast,bona,0.891143,0.756128,0.747616,0.925072,0.46919
H3_contrast,ceam,0.35291,0.410364,0.337511,0.841039,0.182847
H3_contrast,ceas,0.807395,0.682983,0.593611,0.724735,0.695564
H3_contrast,eqas,0.548738,0.552495,0.541194,0.849881,0.281469
H3_contrast,euro,0.502862,0.419762,0.331933,0.807021,0.125061
H3_contrast,global,0.730379,0.665444,0.511045,0.84804,0.726711
H3_contrast,mide,0.477769,0.411494,0.338529,0.774187,0.128456
H3_contrast,nhaf,0.760363,0.62999,0.478598,0.901546,0.530843
H3_contrast,nhsa,0.552029,0.646977,0.512476,0.913277,0.744626
H3_contrast,seas,0.544868,0.514939,0.387788,0.821509,0.432745
H3_contrast,shaf,0.744628,0.627574,0.503845,0.908871,0.47668
H3_contrast,shsa,0.549134,0.555066,0.445657,0.828608,0.506274
H3_contrast,tena,0.497402,0.428922,0.355272,0.693836,0.242829
H4_dry_gated_wetmonth,aust,0.759312,0.638574,0.65594,0.575827,0.54585
H4_dry_gated_wetmonth,boas,0.878436,0.66079,0.707911,0.807101,0.202589
H4_dry_gated_wetmonth,bona,0.894703,0.696227,0.75738,0.915683,0.155992
H4_dry_gated_wetmonth,ceam,0.506018,0.470723,0.368395,0.829724,0.281081
H4_dry_gated_wetmonth,ceas,0.812082,0.681737,0.6297,0.72081,0.616392
H4_dry_gated_wetmonth,eqas,0.71748,0.662188,0.577583,0.855482,0.582814
H4_dry_gated_wetmonth,euro,0.659926,0.514755,0.467413,0.799081,0.179941
H4_dry_gated_wetmonth,global,0.724558,0.63691,0.516174,0.849041,0.578603
H4_dry_gated_wetmonth,mide,0.50269,0.42659,0.346656,0.771231,0.165716
H4_dry_gated_wetmonth,nhaf,0.733019,0.603797,0.47806,0.900306,0.429537
H4_dry_gated_wetmonth,nhsa,0.673349,0.68411,0.518848,0.913534,0.795974
H4_dry_gated_wetmonth,seas,0.649506,0.552748,0.398634,0.797327,0.519641
H4_dry_gated_wetmonth,shaf,0.709495,0.594951,0.503942,0.914233,0.343142
H4_dry_gated_wetmonth,shsa,0.681176,0.620848,0.457934,0.832895,0.674302
H4_dry_gated_wetmonth,tena,0.633595,0.499805,0.452783,0.690495,0.269366
