
ilamb/output_H4_regions/scalar_database.csv (1170, 11) ['Section', 'Variable', 'Source', 'Model', 'ScalarName', 'AnalysisType', 'Region', 'ScalarType', 'Units', 'Data', 'Weight']
ScalarName                       Bias Score  Overall Score  RMSE Score  Seasonal Cycle Score  Spatial Distribution Score
Model                    Region                                                                                         
ED-H1-annual-humid-supp  aust        0.7568         0.6344      0.6561                0.5783                      0.5247
                         boas        0.8790         0.6678      0.6970                0.7973                      0.2685
                         bona        0.8949         0.6950      0.7532                0.9261                      0.1474
                         ceam        0.5330         0.5039      0.4051                0.8518                      0.3243
                         ceas        0.8138         0.6871      0.6249                0.7243                      0.6478
                         eqas        0.7259         0.6801      0.5903                0.8493                      0.6447
                         euro        0.6577         0.5173      0.4516                0.8035                      0.2220
                         global      0.7243         0.6384      0.5173                0.8496                      0.5837
                         mide        0.4996         0.4191      0.3474                0.7735                      0.1277
                         nhaf        0.7309         0.6096      0.4722                0.8949                      0.4780
                         nhsa        0.6791         0.6867      0.5478                0.9151                      0.7438
                         seas        0.6724         0.5749      0.4304                0.8247                      0.5165
                         shaf        0.7062         0.5955      0.5045                0.9168                      0.3454
                         shsa        0.6999         0.6404      0.4890                0.8299                      0.6943
                         tena        0.6013         0.4727      0.4246                0.6838                      0.2294
ED-H1m-mild-humid        aust        0.7506         0.6565      0.6554                0.5772                      0.6437
                         boas        0.8572         0.7380      0.6430                0.7966                      0.7502
                         bona        0.8890         0.7733      0.7463                0.9251                      0.5600
                         ceam        0.3650         0.4269      0.3570                0.8486                      0.2069
                         ceas        0.8038         0.6808      0.5832                0.7217                      0.7123
                         eqas        0.5686         0.5694      0.5527                0.8413                      0.3320
                         euro        0.4792         0.4096      0.3185                0.8076                      0.1241
                         global      0.7263         0.6538      0.5068                0.8460                      0.6828
                         mide        0.4740         0.4101      0.3378                0.7666                      0.1344
                         nhaf        0.7553         0.6109      0.4739                0.9005                      0.4508
                         nhsa        0.5641         0.6589      0.5303                0.9144                      0.7554
                         seas        0.5655         0.5377      0.4040                0.8263                      0.4887
                         shaf        0.7343         0.6049      0.4930                0.9041                      0.4003
                         shsa        0.5712         0.5755      0.4675                0.8201                      0.5515
                         tena        0.4874         0.4258      0.3475                0.6984                      0.2482
ED-H2-wetmonth           aust        0.7604         0.6544      0.6530                0.5847                      0.6208
                         boas        0.8761         0.6584      0.7034                0.8023                      0.2068
                         bona        0.8938         0.6843      0.7545                0.8933                      0.1255
                         ceam        0.4683         0.4327      0.3279                0.8275                      0.2118
                         ceas        0.8114         0.6888      0.6294                0.7336                      0.6404
                         eqas        0.7020         0.6268      0.5629                0.8412                      0.4652
                         euro        0.6402         0.4932      0.4468                0.7995                      0.1329
                         global      0.7290         0.6534      0.5168                0.8521                      0.6524
                         mide        0.4811         0.4089      0.3292                0.7731                      0.1320
                         nhaf        0.7407         0.6198      0.4830                0.9007                      0.4917
                         nhsa        0.6567         0.6741      0.4881                0.9148                      0.8229
                         seas        0.6278         0.5272      0.3778                0.8040                      0.4488
                         shaf        0.7223         0.6196      0.5114                0.9172                      0.4357
                         shsa        0.6531         0.5844      0.4266                0.8357                      0.5798
                         tena        0.6366         0.4865      0.4420                0.6881                      0.2236
ED-H3-seasonal-contrast  aust        0.7547         0.6619      0.6557                0.5721                      0.6712
                         boas        0.8632         0.7332      0.6555                0.7969                      0.6949
                         bona        0.8911         0.7561      0.7476                0.9251                      0.4692
                         ceam        0.3529         0.4104      0.3375                0.8410                      0.1828
                         ceas        0.8074         0.6830      0.5936                0.7247                      0.6956
                         eqas        0.5487         0.5525      0.5412                0.8499                      0.2815
                         euro        0.5029         0.4198      0.3319                0.8070                      0.1251
                         global      0.7304         0.6654      0.5110                0.8480                      0.7267
                         mide        0.4778         0.4115      0.3385                0.7742                      0.1285
                         nhaf        0.7604         0.6300      0.4786                0.9015                      0.5308
                         nhsa        0.5520         0.6470      0.5125                0.9133                      0.7446
                         seas        0.5449         0.5149      0.3878                0.8215                      0.4327
                         shaf        0.7446         0.6276      0.5038                0.9089                      0.4767
                         shsa        0.5491         0.5551      0.4457                0.8286                      0.5063
                         tena        0.4974         0.4289      0.3553                0.6938                      0.2428
ED-H4-dry-gated-wetmonth aust        0.7593         0.6386      0.6559                0.5758                      0.5458
                         boas        0.8784         0.6608      0.7079                0.8071                      0.2026
                         bona        0.8947         0.6962      0.7574                0.9157                      0.1560
                         ceam        0.5060         0.4707      0.3684                0.8297                      0.2811
                         ceas        0.8121         0.6817      0.6297                0.7208                      0.6164
                         eqas        0.7175         0.6622      0.5776                0.8555                      0.5828
                         euro        0.6599         0.5148      0.4674                0.7991                      0.1799
                         global      0.7246         0.6369      0.5162                0.8490                      0.5786
                         mide        0.5027         0.4266      0.3467                0.7712                      0.1657
                         nhaf        0.7330         0.6038      0.4781                0.9003                      0.4295
                         nhsa        0.6733         0.6841      0.5188                0.9135                      0.7960
                         seas        0.6495         0.5527      0.3986                0.7973                      0.5196
                         shaf        0.7095         0.5950      0.5039                0.9142                      0.3431
                         shsa        0.6812         0.6208      0.4579                0.8329                      0.6743
                         tena        0.6336         0.4998      0.4528                0.6905                      0.2694
ED-ModelC-final          aust        0.7456         0.6702      0.6520                0.5795                      0.7219
                         boas        0.8408         0.7287      0.6192                0.7966                      0.7679
                         bona        0.8840         0.7898      0.7425                0.9251                      0.6549
                         ceam        0.2869         0.3762      0.3104                0.8475                      0.1256
                         ceas        0.7834         0.6705      0.5603                0.7222                      0.7265
                         eqas        0.4771         0.5074      0.5231                0.8365                      0.1771
                         euro        0.3934         0.3611      0.2618                0.8082                      0.0805
                         global      0.7281         0.6715      0.5058                0.8457                      0.7724
                         mide        0.4367         0.3828      0.3101                0.7658                      0.0912
                         nhaf        0.7693         0.6459      0.4795                0.9010                      0.5998
                         nhsa        0.5014         0.6058      0.4932                0.9144                      0.6270
                         seas        0.4962         0.4872      0.3773                0.8267                      0.3586
                         shaf        0.7597         0.6467      0.5023                0.9021                      0.5671
                         shsa        0.4731         0.5072      0.4298                0.8200                      0.3836
                         tena        0.4371         0.3815      0.3080                0.6940                      0.1603
