"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Period Mean (original grids)","MeanState","global","scalar","%","0.331106","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (intersection)","MeanState","global","scalar","%","0.357759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (complement)","MeanState","global","scalar","%","0.0628259","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Period Mean (original grids)","MeanState","bona","scalar","%","0.00856975","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0088233","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (complement)","MeanState","bona","scalar","%","0.000999275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Period Mean (original grids)","MeanState","tena","scalar","%","0.141332","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.145381","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Model Period Mean (complement)","MeanState","tena","scalar","%","0.0180339","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-H2-wetmonth","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
