"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.772351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.671529","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Period Mean (original grids)","MeanState","global","scalar","%","0.317866","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Model Period Mean (intersection)","MeanState","global","scalar","%","0.343054","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Model Period Mean (complement)","MeanState","global","scalar","%","0.0643266","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Spatial Distribution Score","MeanState","global","score","1","0.700431","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Phase Shift","MeanState","global","scalar","months","2.13641","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Seasonal Cycle Score","MeanState","global","score","1","0.824255","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Bias","MeanState","global","scalar","%","0.0132786","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Bias Score","MeanState","global","score","1","0.730314","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","RMSE","MeanState","global","scalar","%","0.775765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","RMSE Score","MeanState","global","score","1","0.514513","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-rain_temp_shift","Overall Score","MeanState","global","score","1","0.656805","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Period Mean (original grids)","MeanState","global","scalar","%","0.349034","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Model Period Mean (intersection)","MeanState","global","scalar","%","0.380006","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Model Period Mean (complement)","MeanState","global","scalar","%","0.0372645","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Spatial Distribution Score","MeanState","global","score","1","0.62867","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Phase Shift","MeanState","global","scalar","months","2.1319","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Seasonal Cycle Score","MeanState","global","score","1","0.836115","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Bias","MeanState","global","scalar","%","0.0502306","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Bias Score","MeanState","global","score","1","0.730318","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","RMSE","MeanState","global","scalar","%","0.75527","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","RMSE Score","MeanState","global","score","1","0.508884","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C1-annual_p_hump","Overall Score","MeanState","global","score","1","0.642574","80.0"
