"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Period Mean (original grids)","MeanState","global","scalar","%","0.453398","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Model Period Mean (intersection)","MeanState","global","scalar","%","0.490216","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Model Period Mean (complement)","MeanState","global","scalar","%","0.0827841","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Spatial Distribution Score","MeanState","global","score","1","0.755836","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Phase Shift","MeanState","global","scalar","months","2.03245","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Seasonal Cycle Score","MeanState","global","score","1","0.850027","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Bias","MeanState","global","scalar","%","0.16044","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Bias Score","MeanState","global","score","1","0.732049","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","RMSE","MeanState","global","scalar","%","0.824202","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","RMSE Score","MeanState","global","score","1","0.519212","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-rain_ignition_shift","Overall Score","MeanState","global","score","1","0.675267","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-ablate-rate_power_only","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-ablate-rate_power_only","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
