"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Period Mean (original grids)","MeanState","global","scalar","%","0.434044","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (intersection)","MeanState","global","scalar","%","0.469765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (complement)","MeanState","global","scalar","%","0.0744748","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Spatial Distribution Score","MeanState","global","score","1","0.747125","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Phase Shift","MeanState","global","scalar","months","2.01233","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Seasonal Cycle Score","MeanState","global","score","1","0.847854","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Bias","MeanState","global","scalar","%","0.139989","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Bias Score","MeanState","global","score","1","0.73227","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","RMSE","MeanState","global","scalar","%","0.802402","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","RMSE Score","MeanState","global","score","1","0.519013","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Overall Score","MeanState","global","score","1","0.673055","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.772351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.671529","80.0"
