"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Period Mean (original grids)","MeanState","global","scalar","%","0.434044","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (intersection)","MeanState","global","scalar","%","0.469765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (complement)","MeanState","global","scalar","%","0.0744748","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Period Mean (original grids)","MeanState","bona","scalar","%","0.0133364","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.0137132","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Model Period Mean (complement)","MeanState","bona","scalar","%","0.00208732","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-C2-combined_wet_rain","Period Mean (original grids)","MeanState","tena","scalar","%","0.198418","80.0"
