Model,Region,Bias Score,RMSE Score,Seasonal Cycle Score,Spatial Distribution Score,Overall Score,Overall Note
ED-ModelC-humid_suppression,aust,0.752679,0.652207,0.627192,0.680365,0.6862214999999999,derived
ED-ModelC-fuel_moisture_balance,aust,0.768336,0.653947,0.554759,0.699024,0.6830581666666666,derived
ED-ModelC-final,aust,0.745626,0.652014,0.579524,0.721918,0.6827869999999999,derived
ED-ModelC-precip_shape,aust,0.750577,0.64865,0.611789,0.67398,0.6807038333333333,derived
ED-ModelC-base_refit,aust,0.746074,0.653375,0.603718,0.593502,0.6660196666666667,derived
ED-ModelC-temp_window,aust,0.736245,0.646197,0.582625,0.646759,0.6657113333333334,derived
ED-ModelC-precip_shape,boas,0.882003,0.690884,0.802358,0.589272,0.7562340000000001,derived
ED-ModelC-final,boas,0.840753,0.619204,0.796639,0.767865,0.7474029999999999,derived
ED-ModelC-temp_window,boas,0.869865,0.676065,0.803329,0.587043,0.7470386666666666,derived
ED-ModelC-base_refit,boas,0.879473,0.698303,0.795917,0.25943,0.7018165000000001,derived
ED-ModelC-humid_suppression,boas,0.880617,0.711482,0.796517,0.191135,0.6953083333333333,derived
ED-ModelC-fuel_moisture_balance,boas,0.874541,0.694598,0.78503,0.20581,0.6881863333333333,derived
ED-ModelC-final,bona,0.883981,0.742535,0.925121,0.654858,0.8055018333333334,derived
ED-ModelC-precip_shape,bona,0.893959,0.753023,0.923771,0.47894,0.7827791666666667,derived
ED-ModelC-temp_window,bona,0.895437,0.752194,0.919857,0.440552,0.7759451666666668,derived
ED-ModelC-humid_suppression,bona,0.895043,0.754744,0.928789,0.142411,0.7284623333333333,derived
ED-ModelC-base_refit,bona,0.895223,0.753177,0.927425,0.134983,0.7265346666666668,derived
ED-ModelC-fuel_moisture_balance,bona,0.885533,0.746969,0.848468,0.0930453,0.7010862166666666,derived
ED-ModelC-humid_suppression,ceam,0.518427,0.44792,0.877158,0.199628,0.50158,derived
ED-ModelC-precip_shape,ceam,0.545306,0.424532,0.863352,0.152787,0.49263583333333333,derived
ED-ModelC-base_refit,ceam,0.436719,0.42263,0.84608,0.282922,0.4746166666666667,derived
ED-ModelC-fuel_moisture_balance,ceam,0.460496,0.337888,0.828627,0.221449,0.4411406666666666,derived
ED-ModelC-temp_window,ceam,0.413998,0.348261,0.828178,0.162155,0.41914183333333327,derived
ED-ModelC-final,ceam,0.286887,0.310422,0.84747,0.125564,0.3612753333333332,derived
ED-ModelC-base_refit,ceas,0.806542,0.609228,0.722644,0.6643,0.7030806666666667,derived
