"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","global","scalar","%","0.369477","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","global","scalar","%","0.401164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","global","scalar","%","0.0505244","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Spatial Distribution Score","MeanState","global","score","1","0.693227","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Phase Shift","MeanState","global","scalar","months","2.08317","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Seasonal Cycle Score","MeanState","global","score","1","0.839058","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Bias","MeanState","global","scalar","%","0.071388","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Bias Score","MeanState","global","score","1","0.731075","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","RMSE","MeanState","global","scalar","%","0.785557","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","RMSE Score","MeanState","global","score","1","0.511184","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Overall Score","MeanState","global","score","1","0.657146","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Period Mean (original grids)","MeanState","global","scalar","%","0.4327","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Model Period Mean (intersection)","MeanState","global","scalar","%","0.464828","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Model Period Mean (complement)","MeanState","global","scalar","%","0.109304","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Spatial Distribution Score","MeanState","global","score","1","0.668848","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Phase Shift","MeanState","global","scalar","months","2.05729","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Seasonal Cycle Score","MeanState","global","score","1","0.834902","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Bias","MeanState","global","scalar","%","0.135052","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Bias Score","MeanState","global","score","1","0.722189","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","RMSE","MeanState","global","scalar","%","0.835429","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","RMSE Score","MeanState","global","score","1","0.507389","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-base_refit","Overall Score","MeanState","global","score","1","0.648144","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.772351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.671529","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Period Mean (original grids)","MeanState","global","scalar","%","0.449393","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Model Period Mean (intersection)","MeanState","global","scalar","%","0.459361","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Model Period Mean (complement)","MeanState","global","scalar","%","0.349055","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Spatial Distribution Score","MeanState","global","score","1","0.656438","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Phase Shift","MeanState","global","scalar","months","2.00193","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Seasonal Cycle Score","MeanState","global","score","1","0.841352","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Bias","MeanState","global","scalar","%","0.129585","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Bias Score","MeanState","global","score","1","0.715627","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","RMSE","MeanState","global","scalar","%","0.88427","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","RMSE Score","MeanState","global","score","1","0.509039","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-precip_shape","Overall Score","MeanState","global","score","1","0.646299","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Period Mean (original grids)","MeanState","global","scalar","%","0.515916","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Model Period Mean (intersection)","MeanState","global","scalar","%","0.541793","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Model Period Mean (complement)","MeanState","global","scalar","%","0.25545","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Spatial Distribution Score","MeanState","global","score","1","0.70636","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Phase Shift","MeanState","global","scalar","months","2.07017","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Seasonal Cycle Score","MeanState","global","score","1","0.841213","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Bias","MeanState","global","scalar","%","0.212017","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Bias Score","MeanState","global","score","1","0.725506","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","RMSE","MeanState","global","scalar","%","0.918203","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","RMSE Score","MeanState","global","score","1","0.511461","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-temp_window","Overall Score","MeanState","global","score","1","0.6592","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Period Mean (original grids)","MeanState","global","scalar","%","0.499213","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Model Period Mean (intersection)","MeanState","global","scalar","%","0.512841","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Model Period Mean (complement)","MeanState","global","scalar","%","0.362028","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Spatial Distribution Score","MeanState","global","score","1","0.686248","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Phase Shift","MeanState","global","scalar","months","2.00993","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Seasonal Cycle Score","MeanState","global","score","1","0.829925","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Bias","MeanState","global","scalar","%","0.183066","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Bias Score","MeanState","global","score","1","0.718573","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","RMSE","MeanState","global","scalar","%","0.914788","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-humid_suppression","Overall Score","MeanState","global","score","1","0.649253","80.0"
