"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","bona","scalar","%","0.00422575","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.00436456","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","bona","scalar","%","8.11512e-05","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","tena","scalar","%","0.172382","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.176797","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","tena","scalar","%","0.037924","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","ceam","scalar","%","0.407658","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.462124","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.0605075","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.365067","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.38617","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.06271","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","shsa","scalar","%","0.5075","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.526736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00304514","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","euro","scalar","%","0.142595","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.158735","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0198964","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","mide","scalar","%","0.245191","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.313017","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0716321","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","nhaf","scalar","%","1.05082","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","1.11349","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.136243","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","shaf","scalar","%","0.948168","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","shaf","scalar","%","0.978647","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.0653385","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","boas","scalar","%","0.0118483","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","boas","scalar","%","0.0120244","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","boas","scalar","%","0.000125551","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","ceas","scalar","%","0.125736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","ceas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","ceas","scalar","%","0.146933","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","ceas","scalar","%","0.15333","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (complement)","MeanState","ceas","scalar","%","0.0752568","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (intersection)","MeanState","seas","scalar","%","0.148029","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Benchmark Period Mean (complement)","MeanState","seas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Period Mean (original grids)","MeanState","seas","scalar","%","0.655988","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-fuel_moisture_balance","Model Period Mean (intersection)","MeanState","seas","scalar","%","0.709304","80.0"
