region,bias,rmse,seasonal,spatial,component_mean,pred_mean,obs_mean,ratio
global,0.6806071049201975,0.3816085477373873,0.8325700435254875,0.3119185119240622,0.5516760520267836,0.0015517255634958896,0.002987454786311091,0.5194139071448663
bona,0.86884446933873,0.3665983404779767,0.9337123570264682,0.01591899582555272,0.5462685406671819,3.394093854747621e-05,0.0003207440378044602,0.10581939004692807
tena,0.6967726837597565,0.2433615413475826,0.7018795105578215,0.613654973803064,0.5639171773670562,0.0005967199820372385,0.00025217155253589766,2.3663255179664544
ceam,0.6313817635121309,0.34166903057495085,0.8828735993924292,0.49150150902476225,0.5868564756260684,0.0014278701953169396,0.0007288585650614946,1.959049755061078
nhsa,0.7414643092054148,0.4256170543576451,0.9245358960898176,0.7164408931680226,0.702014538205225,0.0014660948197841798,0.001280603540327849,1.144846763631464
shsa,0.7236435827149217,0.3582747656604234,0.8591683985942316,0.7662392938437286,0.6768315102033262,0.002151158704559342,0.0014137896515067354,1.5215549928132563
euro,0.6928881688837333,0.30619136912214534,0.8299648168569869,0.4994809160201508,0.5821313177207541,0.00036893673406563894,0.00021110548949379446,1.7476415852693514
mide,0.6118835613832446,0.19330831702018575,0.8151565889888439,0.42490671877968894,0.5113137965429908,0.0008182887187109863,0.00017601219415959687,4.649045584421086
nhaf,0.6932857923160695,0.3897719377907701,0.8852032819033887,0.285147511962421,0.5633521309931624,0.005409811602785235,0.011426847018725877,0.47342994908800423
shaf,0.6256881675189024,0.38993204865129877,0.8693011668329603,0.11201746603734376,0.49923471226012633,0.003411399263034208,0.014220101930485054,0.23989977564654094
boas,0.8499122208747178,0.3717730352882291,0.7964500281138654,0.02110102685109924,0.5098090777819779,5.3074574559666494e-05,0.00032946135972198416,0.16109498984451004
ceas,0.7571291860172338,0.356442671059805,0.7305931644843358,0.20554181293888332,0.5124267086250645,0.0004954176378471976,0.0011503434752898598,0.4306693157812666
seas,0.6918314524993496,0.3682736195310875,0.8730708059052417,0.5405114855823246,0.6184218408795009,0.00266541412877994,0.0013442512162868746,1.9828244114664753
eqas,0.6827877257818976,0.35513114183167954,0.8335880648743946,0.5064562407236967,0.5944907933029171,0.00039741696339435007,0.0003417350568881355,1.1629388153803104
aust,0.7381255980708639,0.3712698824784952,0.5788931306859616,0.40501681960573255,0.5233263577102633,0.0017756552833417154,0.004865230511450931,0.36496837689345224
