region,bias,rmse,seasonal,spatial,component_mean,pred_mean,obs_mean,ratio
global,0.7035098842098554,0.3852942094648107,0.8483681553289426,0.6033238040533659,0.6351240132642437,0.0030240563712779687,0.002987454786311091,1.0122517616408253
bona,0.8794591615434674,0.3648904942884646,0.9005221693790354,0.23163417259718452,0.594126499452038,0.00010456567571065834,0.0003207440378044602,0.32600972445323045
tena,0.5524833650742836,0.19108180404513836,0.6797090635388273,0.06634990056528814,0.37240603330588434,0.0017116006206873496,0.00025217155253589766,6.787445279563209
ceam,0.4841613002708557,0.1977888054887828,0.8201680146283169,0.10890229023472138,0.4027551026556692,0.0035676522791808357,0.0007288585650614946,4.894848527965066
nhsa,0.7092583655751836,0.3765390092789529,0.9167292867504403,0.7008401221528691,0.6758416959393615,0.0009795979596943594,0.001280603540327849,0.7649502192369553
shsa,0.6936170544368638,0.2938437176523201,0.8485992599065927,0.5458680557959478,0.5954820219479311,0.0028536523729559816,0.0014137896515067354,2.0184419711208674
euro,0.6285518452205322,0.2605884064718175,0.792356290562599,0.12758356937955392,0.45227002790862564,0.0008822548781848992,0.00021110548949379446,4.179213321838418
mide,0.3610894148273019,0.10424919409606997,0.7589448708429809,0.037773414003337995,0.31551422344242264,0.0037518780999866675,0.00017601219415959687,21.3160122034993
nhaf,0.7036461646768675,0.3943547498977947,0.8882220966644383,0.44781681161054465,0.6085099557124113,0.008347331822420303,0.011426847018725877,0.7305017567847469
shaf,0.6931517241292644,0.42492681137782623,0.9165813767773751,0.3967631909051193,0.6078557757973962,0.008811067426240786,0.014220101930485054,0.6196205532628426
boas,0.8664981509885328,0.37225141195841105,0.7770261259829745,0.2031995836991706,0.5547438181572721,0.0001416573649257357,0.00032946135972198416,0.42996655090389563
ceas,0.7740481786979811,0.33807842661540083,0.7191052160321637,0.4652033204298754,0.5741087854438552,0.0018384475557395618,0.0011503434752898598,1.598172714178383
seas,0.666361822657767,0.3172222965622821,0.8501093231032474,0.3069067099617175,0.5351500380712535,0.004488229766967449,0.0013442512162868746,3.3388325851964784
eqas,0.6566804727467846,0.3497494943556187,0.7837585068225293,0.5000780934711455,0.5725666418490196,0.00017135267038730415,0.0003417350568881355,0.5014196420063967
aust,0.7241952274709903,0.3499703653773275,0.5889031745738087,0.5567359324586303,0.5549511749701892,0.0040568696512271055,0.004865230511450931,0.8338494221075247
