model,region,Bias Score,RMSE Score,Seasonal Cycle Score,Spatial Distribution Score,mean4
ED-ModelC-curing_ratio-g700,aust,0.772509,0.654618,0.566995,0.786082,0.695051
ED-ModelC-curing_ratio-g700,boas,0.858667,0.627,0.795978,0.735687,0.7543329999999999
ED-ModelC-curing_ratio-g700,bona,0.876708,0.734342,0.925884,0.430665,0.7418997500000001
ED-ModelC-curing_ratio-g700,ceam,0.259714,0.317364,0.852588,0.0972137,0.381719925
ED-ModelC-curing_ratio-g700,ceas,0.78913,0.56095,0.711317,0.718222,0.69490475
ED-ModelC-curing_ratio-g700,eqas,0.406228,0.547954,0.814169,0.0937016,0.46551315000000004
ED-ModelC-curing_ratio-g700,euro,0.467775,0.283356,0.807183,0.0958097,0.413530925
ED-ModelC-curing_ratio-g700,global,0.729482,0.499233,0.838594,0.782165,0.7123685
ED-ModelC-curing_ratio-g700,mide,0.501596,0.338686,0.759064,0.137678,0.434256
ED-ModelC-curing_ratio-g700,nhaf,0.769206,0.469505,0.876167,0.636032,0.6877275
ED-ModelC-curing_ratio-g700,nhsa,0.445535,0.538211,0.914079,0.584083,0.620477
ED-ModelC-curing_ratio-g700,seas,0.469972,0.39288,0.842606,0.361934,0.516848
ED-ModelC-curing_ratio-g700,shaf,0.765506,0.483014,0.904309,0.67012,0.70573725
ED-ModelC-curing_ratio-g700,shsa,0.43325,0.469733,0.852809,0.313972,0.517441
ED-ModelC-curing_ratio-g700,tena,0.477014,0.327389,0.686266,0.116927,0.401899
ED-ModelC-curing_ratio-r500,aust,0.776874,0.670493,0.580317,0.386473,0.60353925
ED-ModelC-curing_ratio-r500,boas,0.861758,0.717907,0.796379,0.0176966,0.59843515
ED-ModelC-curing_ratio-r500,bona,0.88962,0.756455,0.924337,0.0111739,0.645396475
ED-ModelC-curing_ratio-r500,ceam,0.663459,0.515313,0.867143,0.70761,0.68838125
ED-ModelC-curing_ratio-r500,ceas,0.782769,0.642529,0.729269,0.193615,0.5870455
ED-ModelC-curing_ratio-r500,eqas,0.712465,0.58904,0.840242,0.611496,0.6883107500000001
ED-ModelC-curing_ratio-r500,euro,0.737552,0.569085,0.8154,0.639133,0.6902925
ED-ModelC-curing_ratio-r500,global,0.699994,0.510097,0.827503,0.301372,0.5847415
