region,bias,rmse,seasonal,spatial,component_mean,pred_mean,obs_mean,ratio
global,0.6939759051384755,0.3863620483062557,0.8365417786514802,0.5272321266432308,0.6110279646848605,0.002116305887231986,0.002987454786311091,0.708397628717522
bona,0.8598053397544386,0.3662568917351393,0.9109449660116965,0.006574319516462832,0.5358953792544343,6.585930160498501e-06,0.0003207440378044602,0.020533289363839358
tena,0.6819787055243379,0.23145748601074806,0.7184099933011604,0.35758229081697684,0.49735711891330575,0.0006218554781314573,0.00025217155253589766,2.466001693735585
ceam,0.5744427701635845,0.2594842994971607,0.8341333963636545,0.23741761815178206,0.4763695210440454,0.0018669350706911438,0.0007288585650614946,2.561450407010279
nhsa,0.6612940011053171,0.35870641818878174,0.9094956849415984,0.7522174615608068,0.670428391449126,0.0015598151647651674,0.001280603540327849,1.2180312754311189
shsa,0.6907689005415468,0.2948363264724339,0.811116539053266,0.590090944216387,0.5967031775709084,0.002726188069440644,0.0014137896515067354,1.9282840729573496
euro,0.636934247676722,0.25709394826202703,0.8019318240104067,0.14464884802833594,0.4601522169943729,0.0007980628709236113,0.00021110548949379446,3.7803984588788833
mide,0.47316166310304725,0.16791402185268467,0.73556226629612,0.0892109417228309,0.3664622232436707,0.0015212627060001251,0.00017601219415959687,8.642939227141273
nhaf,0.7215787683600637,0.4025185418394463,0.8712464444752341,0.47562447955460246,0.6177420585573367,0.007842019574394307,0.011426847018725877,0.6862802626881087
shaf,0.6576391284362669,0.4133503687069321,0.9011395835739912,0.2539296410153315,0.5565146804331303,0.005251747034720827,0.014220101930485054,0.369318522470842
boas,0.8412549737987031,0.3671744023200586,0.7822978364864107,0.019856412790180987,0.5026459063488383,2.281747239695221e-05,0.00032946135972198416,0.06925689964659232
ceas,0.7586712041860333,0.3571660801419622,0.7217622818743344,0.43693812491433554,0.5686344227791663,0.0005279105991660697,0.0011503434752898598,0.4589156282858325
seas,0.6569699690239991,0.3211575040586196,0.8683884411197103,0.404821828902641,0.5628344357762425,0.003949392168501511,0.0013442512162868746,2.9379866781691573
eqas,0.6848717937440011,0.35089022014694055,0.7577396144727829,0.520944984396539,0.5786116531900659,0.0002517527247856174,0.0003417350568881355,0.7366897805024935
aust,0.7129798652413442,0.3601015323896779,0.5977746831099483,0.4367010758796593,0.5268892891551574,0.002031024339468998,0.004865230511450931,0.4174569600086306
