"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","global","scalar","%","0.211468","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","global","scalar","%","0.230245","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","global","scalar","%","0.0224584","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","bona","scalar","%","0.0334473","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","bona","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","bona","scalar","%","0.00067097","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","bona","scalar","%","0.000693109","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","bona","scalar","%","9.93072e-06","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","tena","scalar","%","0.0259374","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","tena","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","tena","scalar","%","0.0622182","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","tena","scalar","%","0.0640796","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","tena","scalar","%","0.00553194","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","ceam","scalar","%","0.0824275","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","ceam","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","ceam","scalar","%","0.18135","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","ceam","scalar","%","0.204283","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","ceam","scalar","%","0.035184","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","nhsa","scalar","%","0.142765","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","nhsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","nhsa","scalar","%","0.160498","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","nhsa","scalar","%","0.169124","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","nhsa","scalar","%","0.0369075","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","shsa","scalar","%","0.145694","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","shsa","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","shsa","scalar","%","0.271326","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","shsa","scalar","%","0.281624","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","shsa","scalar","%","0.00127261","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","euro","scalar","%","0.0250618","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","euro","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","euro","scalar","%","0.077827","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","euro","scalar","%","0.0866818","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","euro","scalar","%","0.0105109","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","mide","scalar","%","0.025217","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","mide","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","mide","scalar","%","0.153923","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","mide","scalar","%","0.200575","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","mide","scalar","%","0.0345421","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","nhaf","scalar","%","1.23284","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","nhaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","nhaf","scalar","%","0.784708","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","nhaf","scalar","%","0.83485","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","nhaf","scalar","%","0.0529516","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","shaf","scalar","%","1.45692","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","shaf","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","shaf","scalar","%","0.522489","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","shaf","scalar","%","0.539482","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","shaf","scalar","%","0.0302737","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","boas","scalar","%","0.0336143","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","boas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","boas","scalar","%","0.00230295","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","boas","scalar","%","0.00233735","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","boas","scalar","%","1.34318e-05","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","ceas","scalar","%","0.125736","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","ceas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","ceas","scalar","%","0.0530055","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","ceas","scalar","%","0.0568477","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","ceas","scalar","%","0.00995057","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","seas","scalar","%","0.148029","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","seas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","seas","scalar","%","0.38321","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","seas","scalar","%","0.414253","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","seas","scalar","%","0.0431517","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","eqas","scalar","%","0.0480126","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","eqas","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","eqas","scalar","%","0.0261105","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","eqas","scalar","%","0.0351158","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","eqas","scalar","%","0.00249711","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","aust","scalar","%","0.529194","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","aust","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","aust","scalar","%","0.204607","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","aust","scalar","%","0.217093","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","aust","scalar","%","0.0431129","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Spatial Distribution Score","MeanState","global","score","1","0.516938","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Spatial Distribution Score","MeanState","bona","score","1","0.0040013","80.0"
