"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Period Mean (original grids)","MeanState","global","scalar","%","0.211468","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (intersection)","MeanState","global","scalar","%","0.230245","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Model Period Mean (complement)","MeanState","global","scalar","%","0.0224584","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Spatial Distribution Score","MeanState","global","score","1","0.516938","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Phase Shift","MeanState","global","scalar","months","2.09325","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Seasonal Cycle Score","MeanState","global","score","1","0.830597","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Bias","MeanState","global","scalar","%","-0.0995309","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Bias Score","MeanState","global","score","1","0.713542","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","RMSE","MeanState","global","scalar","%","0.676322","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","RMSE Score","MeanState","global","score","1","0.515713","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-wet_firebreak-r500","Overall Score","MeanState","global","score","1","0.6185","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Period Mean (original grids)","MeanState","global","scalar","%","0.611164","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (intersection)","MeanState","global","scalar","%","0.663221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Model Period Mean (complement)","MeanState","global","scalar","%","0.0871574","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Spatial Distribution Score","MeanState","global","score","1","0.772351","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Phase Shift","MeanState","global","scalar","months","2.05853","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Seasonal Cycle Score","MeanState","global","score","1","0.84569","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias","MeanState","global","scalar","%","0.333445","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Bias Score","MeanState","global","score","1","0.728089","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE","MeanState","global","scalar","%","0.983043","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","RMSE Score","MeanState","global","score","1","0.505759","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-final","Overall Score","MeanState","global","score","1","0.671529","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Period Mean (original grids)","MeanState","global","scalar","%","0.155023","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Model Period Mean (intersection)","MeanState","global","scalar","%","0.167846","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Model Period Mean (complement)","MeanState","global","scalar","%","0.0259514","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Spatial Distribution Score","MeanState","global","score","1","0.301372","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Phase Shift","MeanState","global","scalar","months","2.022","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Seasonal Cycle Score","MeanState","global","score","1","0.827503","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Bias","MeanState","global","scalar","%","-0.16193","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Bias Score","MeanState","global","score","1","0.699994","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","RMSE","MeanState","global","scalar","%","0.63088","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","RMSE Score","MeanState","global","score","1","0.510097","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-r500","Overall Score","MeanState","global","score","1","0.569813","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Period Mean (original grids)","MeanState","global","scalar","%","0.638709","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Model Period Mean (intersection)","MeanState","global","scalar","%","0.694218","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Model Period Mean (complement)","MeanState","global","scalar","%","0.0799679","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Spatial Distribution Score","MeanState","global","score","1","0.782165","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Phase Shift","MeanState","global","scalar","months","2.05461","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Seasonal Cycle Score","MeanState","global","score","1","0.838594","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Bias","MeanState","global","scalar","%","0.364442","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Bias Score","MeanState","global","score","1","0.729482","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","RMSE","MeanState","global","scalar","%","1.00737","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","RMSE Score","MeanState","global","score","1","0.499233","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-curing_ratio-g700","Overall Score","MeanState","global","score","1","0.669741","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Benchmark Period Mean (intersection)","MeanState","global","scalar","%","0.329776","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Benchmark Period Mean (complement)","MeanState","global","scalar","%","0","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Period Mean (original grids)","MeanState","global","scalar","%","0.302517","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Model Period Mean (intersection)","MeanState","global","scalar","%","0.321795","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Model Period Mean (complement)","MeanState","global","scalar","%","0.108469","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Spatial Distribution Score","MeanState","global","score","1","0.610321","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Phase Shift","MeanState","global","scalar","months","2.08241","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Seasonal Cycle Score","MeanState","global","score","1","0.843135","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Bias","MeanState","global","scalar","%","-0.00798119","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Bias Score","MeanState","global","score","1","0.722221","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","RMSE","MeanState","global","scalar","%","0.760202","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","RMSE Score","MeanState","global","score","1","0.516424","80.0"
"EcosystemandCarbonCycle","BurnedArea","GFED4.1S","ED-ModelC-gpp_asym-r500","Overall Score","MeanState","global","score","1","0.641705","80.0"
